timestamp,open,high,low,close,volume
2025-01-31 00:00:00,3247.38,3271.6,3237.23,3270.5,10592.0236
2025-01-31 01:00:00,3270.5,3273.89,3254.09,3270.63,8308.0162
2025-01-31 02:00:00,3270.63,3279.5,3247.37,3247.61,11293.6476
2025-01-31 03:00:00,3247.6,3247.61,3221.2,3230.65,14679.6715
2025-01-31 04:00:00,3230.65,3235.88,3213.8,3216.61,9004.3773
2025-01-31 05:00:00,3216.61,3248.93,3216.0,3245.32,7969.9571
2025-01-31 06:00:00,3245.32,3271.5,3241.62,3262.93,13003.4056
2025-01-31 07:00:00,3262.94,3276.93,3239.2,3241.63,20512.5934
2025-01-31 08:00:00,3241.63,3249.08,3234.05,3237.01,15422.324
2025-01-31 09:00:00,3237.01,3271.33,3235.0,3266.4,14051.4631
2025-01-31 10:00:00,3266.4,3272.0,3256.57,3269.68,13877.8108
2025-01-31 11:00:00,3269.67,3338.55,3269.67,3335.16,50510.1667
2025-01-31 12:00:00,3335.16,3359.72,3325.3,3350.69,39929.1247
2025-01-31 13:00:00,3350.7,3370.13,3341.49,3354.68,31071.6507
2025-01-31 14:00:00,3354.67,3374.02,3334.71,3351.11,43522.1941
2025-01-31 15:00:00,3351.11,3436.34,3351.11,3427.66,72263.7193
2025-01-31 16:00:00,3427.65,3437.31,3391.2,3403.09,51738.1014
2025-01-31 17:00:00,3403.1,3405.45,3370.34,3375.88,20656.1508
2025-01-31 18:00:00,3375.87,3385.11,3294.97,3314.76,73301.1532
2025-01-31 19:00:00,3314.76,3345.84,3308.13,3339.08,38045.5815
2025-01-31 20:00:00,3339.07,3339.07,3285.68,3315.99,36053.0954
2025-01-31 21:00:00,3315.91,3320.6,3278.5,3319.12,26296.3003
2025-01-31 22:00:00,3319.12,3321.0,3282.0,3296.39,14799.1152
2025-01-31 23:00:00,3296.38,3302.82,3278.8,3300.99,11780.0126
2025-02-01 00:00:00,3300.99,3321.11,3288.35,3317.0,15325.8883
2025-02-01 01:00:00,3317.0,3331.98,3312.7,3313.11,10412.7877
2025-02-01 02:00:00,3313.12,3325.53,3302.67,3306.2,8676.7715
2025-02-01 03:00:00,3306.21,3309.9,3283.01,3291.97,10970.9011
2025-02-01 04:00:00,3291.97,3307.19,3285.0,3294.59,9971.9675
2025-02-01 05:00:00,3294.6,3303.44,3292.88,3299.73,5520.5009
2025-02-01 06:00:00,3299.72,3306.5,3273.44,3295.99,16866.1606
2025-02-01 07:00:00,3296.0,3301.04,3277.67,3280.1,5841.9413
2025-02-01 08:00:00,3280.11,3286.31,3246.1,3268.48,21286.9499
2025-02-01 09:00:00,3268.48,3268.8,3224.01,3236.19,21390.2967
2025-02-01 10:00:00,3236.19,3252.5,3228.14,3234.31,11252.0839
2025-02-01 11:00:00,3234.31,3253.0,3230.0,3252.16,7296.742
2025-02-01 12:00:00,3252.17,3272.28,3246.67,3267.2,10024.596
2025-02-01 13:00:00,3267.2,3273.15,3242.15,3246.21,8349.5062
2025-02-01 14:00:00,3246.21,3256.46,3234.53,3238.8,10290.2676
2025-02-01 15:00:00,3238.8,3258.59,3228.93,3250.99,13629.6263
2025-02-01 16:00:00,3251.0,3266.46,3240.42,3243.01,9858.2123
2025-02-01 17:00:00,3243.01,3266.66,3243.0,3262.24,8133.8623
2025-02-01 18:00:00,3262.24,3267.24,3240.1,3242.04,8219.5568
2025-02-01 19:00:00,3242.05,3244.46,3178.07,3197.08,34326.7725
2025-02-01 20:00:00,3197.09,3197.09,3151.71,3164.01,33905.4566
2025-02-01 21:00:00,3164.0,3179.49,3142.72,3149.8,21287.4656
2025-02-01 22:00:00,3149.79,3162.38,3125.0,3137.94,18229.4243
2025-02-01 23:00:00,3137.94,3139.33,3101.7,3117.54,32997.5146
2025-02-02 00:00:00,3117.54,3156.68,3111.8,3151.46,15737.4606
2025-02-02 01:00:00,3151.47,3163.2,3143.47,3152.49,9880.5708
2025-02-02 02:00:00,3152.5,3152.92,3113.69,3115.81,14174.0312
2025-02-02 03:00:00,3115.82,3128.84,3069.36,3077.97,50147.3265
2025-02-02 04:00:00,3077.98,3111.53,3075.0,3096.56,27495.3343
2025-02-02 05:00:00,3096.56,3123.53,3093.64,3119.72,12802.1706
2025-02-02 06:00:00,3119.72,3139.0,3111.09,3114.99,16905.8627
2025-02-02 07:00:00,3114.99,3115.09,3082.82,3101.51,22039.9699
2025-02-02 08:00:00,3101.5,3124.13,3090.25,3110.01,13826.8299
