timestamp,open,high,low,close,volume
2022-01-01,511.5,527.9,511.4,527.3,446171.541
2022-01-02,527.4,533.9,518.0,531.0,404475.541
2022-01-03,531.0,532.8,510.0,511.9,663841.021
2022-01-04,511.9,520.0,502.0,506.9,687436.638
2022-01-05,506.9,516.0,457.0,474.1,985152.004
2022-01-06,474.2,481.3,458.8,472.6,986669.9
2022-01-07,472.6,473.9,437.5,448.1,1331260.03
2022-01-08,448.1,459.7,415.0,429.9,1062788.589
2022-01-09,429.8,444.5,427.0,438.7,688777.347
2022-01-10,438.8,445.5,405.6,424.7,1221504.738
2022-01-11,424.8,467.7,421.3,463.6,1266092.819
2022-01-12,463.6,489.9,456.6,487.8,836124.928
2022-01-13,487.8,489.8,466.5,475.2,908052.937
2022-01-14,475.1,492.3,467.6,490.0,797022.181
2022-01-15,489.9,500.9,485.0,494.5,548626.203
2022-01-16,494.5,506.0,488.6,498.6,507042.332
2022-01-17,498.6,499.1,466.9,475.2,757806.035
2022-01-18,475.1,479.6,457.2,471.4,707501.577
2022-01-19,471.5,473.1,453.7,461.9,585750.3
2022-01-20,461.9,478.7,438.2,440.2,1137854.894
2022-01-21,440.2,444.6,373.7,383.9,1891179.594
2022-01-22,383.8,389.6,336.3,358.3,2635609.386
2022-01-23,358.3,389.0,356.3,383.9,1297043.923
2022-01-24,384.0,384.0,336.0,371.3,1900214.42
2022-01-25,371.2,389.5,357.4,385.1,1006111.155
2022-01-26,385.1,402.4,366.4,375.1,1073520.172
2022-01-27,375.1,393.8,360.0,389.9,962060.888
2022-01-28,389.9,395.9,375.8,385.9,752320.615
2022-01-29,385.9,397.3,380.7,389.3,534573.782
2022-01-30,389.4,389.6,372.2,377.2,536436.123
2022-01-31,377.2,385.4,365.2,374.3,620113.734
2022-02-01,374.4,388.4,373.7,384.2,555347.277
2022-02-02,384.1,386.1,366.1,366.9,572340.04
2022-02-03,367.1,372.4,359.6,372.3,495715.227
2022-02-04,372.2,399.7,369.5,399.5,849825.828
2022-02-05,399.6,431.0,396.3,413.7,1031046.87
2022-02-06,413.8,422.5,407.0,419.9,542631.176
2022-02-07,419.9,439.0,413.3,433.5,758247.667
2022-02-08,433.5,445.4,406.2,407.8,1148555.321
2022-02-09,407.9,427.7,407.1,422.9,633880.431
2022-02-10,422.9,434.9,410.0,414.7,956240.339
2022-02-11,414.7,418.9,390.5,400.0,700843.2
2022-02-12,400.0,407.1,393.3,403.6,521080.237
2022-02-13,403.6,407.8,394.7,397.9,388657.052
2022-02-14,398.0,404.5,390.6,403.4,472210.318
2022-02-15,403.4,443.0,402.7,432.4,1184143.99
2022-02-16,432.4,433.5,422.2,427.3,606252.493
2022-02-17,427.3,431.1,400.0,402.4,661874.717
2022-02-18,402.4,411.0,392.2,399.2,611936.679
2022-02-19,399.2,406.4,393.0,399.8,410279.304
2022-02-20,399.8,400.0,375.0,380.6,624148.525
2022-02-21,380.7,393.7,355.0,356.6,1219652.481
2022-02-22,356.7,375.4,348.7,374.3,940456.822
2022-02-23,374.3,384.2,365.3,365.6,698692.661
2022-02-24,365.6,371.3,323.5,361.2,1949035.935
2022-02-25,361.2,377.2,356.8,375.0,783242.16
2022-02-26,375.0,386.1,370.5,373.7,548687.941
2022-02-27,373.7,381.2,358.1,360.1,677364.949
2022-02-28,360.1,397.2,355.8,395.6,773064.48
2022-03-01,395.7,424.9,390.4,408.7,1403695.832
2022-03-02,408.7,415.7,403.8,409.3,788499.443
2022-03-03,409.3,413.2,397.4,402.6,577002.325
2022-03-04,402.6,403.5,372.0,374.2,756176.61
2022-03-05,374.1,387.3,367.2,384.7,453970.242
2022-03-06,384.8,387.3,371.6,375.0,489079.158
2022-03-07,375.0,385.9,362.8,380.6,949294.91
2022-03-08,380.6,388.7,375.3,381.4,647492.047
2022-03-09,381.4,402.7,381.0,393.2,1012850.747
2022-03-10,393.2,394.5,363.0,372.0,791332.984
2022-03-11,372.1,380.0,364.7,371.9,510174.586
2022-03-12,371.9,379.2,371.1,372.4,402475.646
2022-03-13,372.4,377.2,360.1,361.4,424762.642
2022-03-14,361.4,373.9,359.5,373.4,467814.984
2022-03-15,373.4,374.7,361.7,371.7,440890.823
2022-03-16,371.7,386.6,367.8,385.4,668878.615
2022-03-17,385.3,393.5,381.7,391.8,569457.408
2022-03-18,391.9,400.0,384.0,397.2,553763.586
2022-03-19,397.2,406.4,394.9,399.9,459996.613
2022-03-20,399.9,400.8,386.2,390.8,398984.429
2022-03-21,390.8,399.5,384.8,396.0,541479.78
2022-03-22,396.0,410.0,394.8,404.3,609034.607
2022-03-23,404.3,411.7,397.9,408.4,535891.79
2022-03-24,408.4,416.6,405.0,414.2,598366.115
2022-03-25,414.2,421.5,405.5,410.3,609691.876
2022-03-26,410.3,416.4,407.5,415.8,280157.687
2022-03-27,415.9,431.6,411.7,430.5,490998.1
2022-03-28,430.6,441.0,427.6,430.2,719102.183
2022-03-29,430.2,441.6,429.4,434.2,629773.894
2022-03-30,434.2,449.3,425.5,442.1,768982.427
2022-03-31,442.1,452.3,423.9,428.9,957924.695
2022-04-01,428.9,448.2,412.8,447.7,971822.655
2022-04-02,447.8,454.2,435.7,437.2,827864.885
2022-04-03,437.3,455.7,432.2,450.4,676230.892
2022-04-04,450.4,450.5,433.4,447.6,736637.271
2022-04-05,447.6,460.0,444.1,444.7,761168.725
2022-04-06,444.7,448.6,418.3,420.1,928930.806
2022-04-07,420.1,450.0,416.2,436.0,717661.036
2022-04-08,436.1,442.0,418.4,421.5,684600.074
2022-04-09,421.5,428.2,419.6,426.6,356426.659
2022-04-10,426.6,429.5,417.0,418.1,386650.883
2022-04-11,418.1,419.7,391.2,394.6,856354.224
2022-04-12,394.6,417.1,392.4,413.6,729790.918
2022-04-13,413.7,424.6,410.3,423.4,630077.277
2022-04-14,423.4,426.9,411.3,414.7,464220.208
2022-04-15,414.7,420.0,412.5,417.3,331730.773
2022-04-16,417.3,419.0,411.6,417.3,237289.02
2022-04-17,417.3,418.2,405.5,406.6,302390.726
2022-04-18,406.7,418.0,396.2,416.8,628747.772
2022-04-19,416.9,424.7,414.6,422.3,567586.931
2022-04-20,422.3,431.4,414.9,418.4,677255.09
2022-04-21,418.4,426.0,401.2,404.9,771718.154
2022-04-22,404.9,413.9,403.3,406.6,563521.049
2022-04-23,406.6,408.1,397.3,401.1,339347.45
2022-04-24,401.2,405.5,397.1,398.8,322889.805
2022-04-25,398.8,405.7,382.3,404.3,849798.678
2022-04-26,404.4,407.5,380.8,385.9,629808.812
2022-04-27,386.0,394.8,383.3,391.3,567371.495
2022-04-28,391.4,408.6,388.5,407.1,946336.334
2022-04-29,407.2,410.7,389.7,393.0,694888.526
2022-04-30,393.0,399.9,376.3,377.1,574905.822
2022-05-01,377.1,391.4,375.5,389.9,564144.673
2022-05-02,389.9,392.6,382.1,389.5,454918.112
2022-05-03,389.5,392.3,379.8,383.9,388317.42
2022-05-04,383.9,403.1,382.7,402.6,599066.682
2022-05-05,402.6,413.6,370.7,378.4,1224114.512
2022-05-06,378.5,383.3,370.6,379.1,702441.419
2022-05-07,379.1,380.6,360.1,365.5,554852.531
2022-05-08,365.5,367.0,349.5,355.9,785184.087
2022-05-09,355.9,359.3,295.4,296.1,2137566.8702
2022-05-10,296.1,332.8,289.0,319.1,2160654.1754
2022-05-11,319.1,323.0,260.8,271.5,3387753.9826
2022-05-12,271.4,285.0,218.8,269.0,4499625.6033
2022-05-13,269.0,313.5,265.4,290.6,1912387.361
2022-05-14,290.7,299.5,272.1,296.9,1092874.023
2022-05-15,296.9,312.6,285.7,312.4,774709.231
2022-05-16,312.4,312.5,290.3,297.2,967622.834
2022-05-17,297.3,310.7,295.8,306.2,702265.607
2022-05-18,306.2,308.6,286.8,287.7,731091.091
2022-05-19,287.8,308.9,286.8,307.1,685238.844
2022-05-20,307.1,316.1,294.1,302.2,918118.177
2022-05-21,302.3,314.2,299.3,312.4,470778.483
2022-05-22,312.5,323.7,311.5,319.4,640675.573
2022-05-23,319.3,337.0,315.3,317.2,1016212.871
2022-05-24,317.1,330.4,312.1,328.3,1087140.698
2022-05-25,328.3,337.9,324.0,325.7,1057736.755
2022-05-26,325.7,331.8,296.7,303.0,1539437.598
2022-05-27,303.0,309.8,290.6,301.6,1460549.008
2022-05-28,301.5,310.5,296.9,307.5,601654.504
2022-05-29,307.6,308.2,298.6,305.8,519507.747
2022-05-30,305.9,324.0,303.9,321.8,1006928.231
2022-05-31,321.8,324.8,313.5,320.9,701746.39
2022-06-01,321.0,324.5,297.6,300.4,817984.609
2022-06-02,300.5,309.2,298.2,308.3,477670.4
2022-06-03,308.4,310.3,293.3,298.6,468996.677
