date,symbol,cluster
2022-09-23,BNB,0
2022-09-24,BNB,0
2022-09-25,BNB,0
2022-09-26,BNB,0
2022-09-27,BNB,1
2022-09-28,BNB,1
2022-09-29,BNB,1
2022-09-30,BNB,0
2022-10-01,BNB,0
2022-10-02,BNB,0
2022-10-03,BNB,0
2022-10-04,BNB,0
2022-10-05,BNB,0
2022-10-06,BNB,0
2022-10-07,BNB,0
2022-10-08,BNB,0
2022-10-09,BNB,0
2022-10-10,BNB,0
2022-10-11,BNB,0
2022-10-12,BNB,0
2022-10-13,BNB,0
2022-10-14,BNB,0
2022-10-15,BNB,1
2022-10-16,BNB,0
2022-10-17,BNB,1
2022-10-18,BNB,1
2022-10-19,BNB,1
2022-10-20,BNB,0
2022-10-21,BNB,0
2022-10-22,BNB,1
2022-10-23,BNB,1
2022-10-24,BNB,1
2022-10-25,BNB,1
2022-10-26,BNB,0
2022-10-27,BNB,1
2022-10-28,BNB,1
2022-10-29,BNB,1
2022-10-30,BNB,1
2022-10-31,BNB,0
2022-11-01,BNB,0
2022-11-02,BNB,1
2022-11-03,BNB,1
2022-11-04,BNB,1
2022-11-05,BNB,1
2022-11-06,BNB,1
2022-11-07,BNB,1
2022-11-08,BNB,1
2022-11-09,BNB,1
2022-11-10,BNB,1
2022-11-11,BNB,1
2022-11-12,BNB,1
2022-11-13,BNB,1
2022-11-14,BNB,1
2022-11-15,BNB,1
2022-11-16,BNB,0
2022-11-17,BNB,0
2022-11-18,BNB,0
2022-11-19,BNB,0
2022-11-20,BNB,1
2022-11-21,BNB,0
2022-11-22,BNB,1
2022-11-23,BNB,1
2022-11-24,BNB,1
2022-11-25,BNB,1
2022-11-26,BNB,0
2022-11-27,BNB,1
2022-11-28,BNB,1
2022-11-29,BNB,1
2022-11-30,BNB,1
2022-12-01,BNB,1
2022-12-02,BNB,1
2022-12-03,BNB,1
2022-12-04,BNB,0
2022-12-05,BNB,1
2022-12-06,BNB,0
2022-12-07,BNB,1
2022-12-08,BNB,1
2022-12-09,BNB,0
2022-12-10,BNB,0
2022-12-11,BNB,0
2022-12-12,BNB,0
2022-12-13,BNB,1
2022-12-14,BNB,1
2022-12-15,BNB,1
2022-12-16,BNB,0
2022-12-17,BNB,1
2022-12-18,BNB,0
2022-12-19,BNB,0
2022-12-20,BNB,0
2022-12-21,BNB,0
2022-12-22,BNB,1
2022-12-23,BNB,0
2022-12-24,BNB,1
2022-12-25,BNB,1
2022-12-26,BNB,1
2022-12-27,BNB,0
2022-12-28,BNB,0
2022-12-29,BNB,0
2022-12-30,BNB,0
2022-12-31,BNB,1
2023-01-01,BNB,1
2023-01-02,BNB,0
2023-01-03,BNB,0
2023-01-04,BNB,1
2023-01-05,BNB,1
2023-01-06,BNB,0
2023-01-07,BNB,1
2023-01-08,BNB,1
2023-01-09,BNB,1
2023-01-10,BNB,0
2023-01-11,BNB,0
2023-01-12,BNB,0
2023-01-13,BNB,0
2023-01-14,BNB,1
2023-01-15,BNB,0
2023-01-16,BNB,0
2023-01-17,BNB,0
2023-01-18,BNB,1
2023-01-19,BNB,1
2023-01-20,BNB,1
2023-01-21,BNB,1
2023-01-22,BNB,1
2023-01-23,BNB,0
2023-01-24,BNB,1
2023-01-25,BNB,1
2023-01-26,BNB,1
2023-01-27,BNB,0
2023-01-28,BNB,1
2023-01-29,BNB,1
2023-01-30,BNB,1
2023-01-31,BNB,1
2023-02-01,BNB,1
2023-02-02,BNB,1
2023-02-03,BNB,1
2023-02-04,BNB,1
2023-02-05,BNB,1
2023-02-06,BNB,1
2023-02-07,BNB,1
2023-02-08,BNB,1
2023-02-09,BNB,1
2023-02-10,BNB,1
2023-02-11,BNB,0
2023-02-12,BNB,1
2023-02-13,BNB,1
2023-02-14,BNB,1
2023-02-15,BNB,1
2023-02-16,BNB,1
2023-02-17,BNB,0
2023-02-18,BNB,1
2023-02-19,BNB,1
2023-02-20,BNB,0
2023-02-21,BNB,1
2023-02-22,BNB,1
2023-02-23,BNB,1
2023-02-24,BNB,1
2023-02-25,BNB,1
